wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logohe,lognahe,logmghe,logalhe,logsihe,logphe,logshe,logclhe,logcahe,logsche,logtihe,logvhe,logcrhe,logmnhe,logfehe,logcohe,lognihe,logcuhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
2QZ J102807.8-013553,10 28 07.82,-01 35 53.09,DBZA,14644.0,8.69,1.024,,0.287,-5.302,,,,,,,,,,-8.5463,,,,,,,,,,,,,3.035859787,329.4,He,
2QZ J103257.4-024012,10 32 57.45,-02 40 11.47,DBZA,11010.0,8.6644,1.0087,,1.53,-4.1189,,,,,,,,,,-8.7805,,,,,,,,,,,,,2.998335932,333.52,He,
CBS 78,08 41 55.08,37 23 11.43,DBZ,13806.0,8.19,0.704,-2.6,0.345,<-6.521,,,,,,,,,,-7.9496,,,,,,,,,,,,,5.869416541,170.37,He,12.39
GALEX 2419490867580507837,07 43 47.84,42 40 23.54,DBZ,16667.0,9.43,1.333,,0.248,-5.21,,,,,,,,,,-8.446,,,,,,,,,,,,,2.309300014,433.03,He,
GALEX 2665121662146448800,23 48 52.64,13 41 41.24,DBZA,11065.0,7.4229,0.3137,,0.264,-3.9633,,,,,,,,,,-8.5884,,,,,,,,,,,,,3.242063628,308.45,He,
GALEX 2680180581990401605,16 46 22.23,27 42 36.92,DBZA,13810.0,8.0714,0.63,,0.288,-3.1401,,,,,,,,,,-7.4243,,,,,,,,,,,,,2.651595842,377.13,He,
GALEX 2680391675338031787,17 28 56.23,32 50 45.09,DBZ,12123.0,7.8705,0.512,,0.312,<-6.1156,,,,,,,,,,-9.0082,,,,,,,,,,,,,4.382943959,228.16,He,
GALEX 2684261943382901377,10 13 20.05,35 41 16.67,DBZH,16698.0,7.99,0.588,,,<-5.969,,,,,,,,,,<-6.62,,,,,,,,,,,,,2.442277651,409.45,,
GALEX 2684261956267803251,10 00 36.99,35 18 21.79,DBZA,12666.0,7.9528,0.5584,,0.307,-5.6462,,,,,,,,,,-8.5374,,,,,,,,,,,,,4.652782994,214.93,He,
GALEX 2686197079552822523,12 26 49.93,44 45 13.95,DBZ,16628.0,9.23,1.274,,0.4,-4.964,,,,,,,,,,-9.4768,,,,,,,,,,,,,4.292979868,232.94,He,
