wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
2MASS J16403197+2229289,16 40 31.99,22 29 26.75,DAZ,7502.0,8.065,0.615,,1.5,,,,,,,,,,,,,,,,,,,,,-8.47,,,,,,,,,,,,,,,,,,,,14.05140106,71.17,H,13.31
2MASS J22385855+1313039,22 38 58.67,13 13 03.15,DAZ,8147.0,8.023,0.591,,1.15,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,15.82710664,63.18,H,13.21
EGGR 126,18 29 09.88,-04 29 40.24,DAZ,8993.0,7.963,0.576,-2.89,0.82,,,,,,,,,,,,,,,,,,,,,-8.83,,,,,,,,,,,,,,,,,,,,38.75868769,25.80,H,12.83
EGGR 259,16 37 40.60,13 40 32.56,DAZ,6878.0,7.99,0.568,-3.64,1.68,,,,,,,,,,,,,,,,,,,,,-9.72,,,,,,,,,,,,,,,,,,,,21.92200667,45.62,H,13.98
EGGR 298,14 58 06.66,29 37 19.94,DAZ,7342.0,7.975,0.578,-3.33,1.38,,,,,,,,,,-8.22,,,,,,,,,,,-9.31,,,,,,,,,,,-8.09,,,,,,,,,34.99748089,28.57,H,13.24
EGGR 360,13 47 23.40,10 21 35.76,DAZ,6926.0,7.976,0.577,-3.42,1.61,,,,,,,,,,,,,,,,,,,,,-11.13,,,,,,,,,,,,,,,,,,,,48.05968617,20.81,H,13.44
EGGR 511,00 35 18.20,-17 18 51.64,DAZ,9659.0,8.009,0.605,,0.7,,,,,,,,,,,,,,,,,,,,,-10.2,,,,,,,,,,,,,,,,,,,,29.94926651,33.39,H,12.62
EGGR 94,12 59 46.27,27 34 05.32,DAZ,8586.0,8.047,0.624,-3.16,1.04,,,,,,,,<-7.5,,-7.24,,-8.17,,<-7.2,,,,,,,-8.0,,<-9.2,,-9.48,,,<-8.2,,<-8.1,,-7.41,,,-8.33,,,,,,30.32293367,32.98,H,12.91
GALEX 2698722728901347034,11 24 47.88,00 13 07.25,DAZ,8614.0,5.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295447719,3384.69,,
GD 133,11 19 12.29,02 20 33.54,DAZ,12158.0,8.036,0.627,-2.5,0.3935,,,<-7.9,<-5.8,,-6.0,,<-6.3,,-6.5,,<-5.7,,-6.6,,,,<-7.0,,,-7.21,,,,<-8.0,,,<-6.8,,<-7.0,,<-5.9,,,<-7.0,,,,,,26.15076507,38.24,H,11.71
GD 237,22 33 38.80,-12 15 27.92,DAZ,20949.0,7.807,,,,,,,,,,,,,,,,,,,,,,,,-6.3,,,,,,,,,,,,,,,,,,,,8.030016858,124.53,H,
GD 362,17 31 34.35,37 05 17.24,DAZB,9825.0,7.99,0.574,-2.8,0.68,-1.5,-7.7,,,<-5.14,,-7.79,,-5.98,-4.8,-6.4,,-5.84,,,,<-6.70,,,-7.0,-5.1,-10.19,,-7.95,,-8.74,-7.41,,-7.47,,-5.65,-4.5,-8.5,-7.07,,-9.2,,,,-10.42,17.81452344,56.13,He,12.32
GD 821,01 16 58.86,-03 10 54.43,DAZ,20390.0,7.92,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.080827772,196.82,H,10.63
GJ 1042,02 11 22.27,39 55 13.51,DAZ,7196.0,7.933,0.553,-3.3,1.38,,,,,,,,,,-7.9,,-9.0,,,,,,,,,-8.5,,,,,,,,,,,-7.89,,,,,,,,,58.23059072,17.17,H,13.16
GJ 1052,02 46 31.04,-02 27 31.31,DAZ,6731.0,8.129,0.67,-3.62,2.29,,,,,,,,,,,,,,,,,,,,,-10.48,,,,,,,,,,,,,,,,,,,,46.5741597,21.47,H,13.93
GJ 2135,18 24 04.32,-13 08 52.52,DAZ,6079.0,8.022,0.601,-3.73,2.39,,,,,,,,,,,,,,,,,,,,,-10.706,,,,,,,,,,,,,,,,,,,,52.46918029,19.06,H,14.21
GJ 3112,01 43 00.07,-67 18 46.65,DAZ,6350.0,7.981,0.578,-3.6,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9077814,9.72,H,13.86
GJ 3182,02 48 35.65,54 23 16.30,DAZ,4942.0,8.018,0.591,-4.12,6.95,,,,,,,,,,,,,,,,,,,,,-12.7,,,,,,,,,,,,,,,,,,,,92.03619894,10.87,H,15.28
GJ 3223,03 25 11.30,-01 49 28.95,DAZH,5165.0,8.048,0.611,-4.01,5.57,,,,,,,,-9.1,,-8.3,,-9.2,,,,,,,,-11.4,-9.55,,,,,,,-9.9,,-10.3,,-8.7,,,,,,,,,59.06632711,16.93,H,14.94
GJ 3710,12 11 30.09,57 24 11.34,DAZ,5829.0,7.982,0.576,-3.65,2.54,,,,,,,,,,,,,,,,,,,,,-10.96,,,,,,,,,,,,,,,,,,,,50.07790021,19.97,H,14.01
GJ 4191,21 19 37.35,-55 50 17.52,DAZ,9529.0,7.967,0.579,-2.83,0.59,,,,,,,,,,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,,,,,,,39.90801403,25.06,H,12.17
GJ 820.1,21 13 18.84,-81 49 18.96,DAZH,9914.0,8.242,0.751,-3.04,0.98,,,,,,,,,,,,,,,,,,,,,-8.6,,,,,,,,,,,,,,,,,,,,61.8086625,16.18,H,12.68
GJ 838.4,21 52 25.40,02 23 14.77,DAZ,17508.0,7.981,0.608,-1.78,0.2405,,,,,,,,,,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,,,,,,,44.32554473,22.56,H,10.95
Gaia DR2 216683956238279168,03 43 06.51,32 01 38.81,DA;DAZ?,15381.0,8.241,0.761,,0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92064465,40.13,,
Gaia DR2 2940238304793401472,06 26 20.70,-18 50 05.82,DAZ,7302.0,7.968,0.574,,1.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9393909,35.79,,
Gaia DR2 3444888196042856192,05 52 34.14,31 24 01.48,DAZ,13613.0,8.173,0.714,,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92537031,41.80,,
Gaia DR2 3453292832862501120,06 09 12.00,35 25 49.47,DAZ,10031.0,8.054,0.633,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74989863,48.19,H,
Gaia DR2 352179415533582080,02 15 30.35,44 53 56.71,DAZ,6583.0,8.145,0.664,,2.48,,,,,,,,,,,,,,,,,,,,,-8.15,,,,,,,,,,,,,,,,,,,,9.88810181,101.13,H,
Gaia DR2 3952478391839564928,12 28 16.39,20 56 37.92,DAZ,6046.0,8.026,0.588,,2.62,,,,,,,,,,,,,,,,,,,,,-9.11,,,,,,,,,,,,,,,,,,,,19.03095208,52.55,H,
Gaia DR2 3954943428189717504,12 52 42.63,21 53 34.05,DAZ,6150.0,7.998,0.571,,2.3,,,,,,,,,,,,,,,,,,,,,-7.43,,,,,,,,,,,,,,,,,,,,10.87282287,91.97,H,
Gaia DR2 4068499305485306240,17 49 35.72,-23 55 02.68,DAZ,7255.0,7.959,0.568,,1.52,,,,,,,,,,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,,,,,,,37.58944269,26.60,H,
Gaia DR2 4496751667093478016,18 02 18.55,13 54 06.52,DAZ,8055.0,8.019,0.588,,1.18,,,,,,,,,,,,,,,,,,,,,-8.1,,,,,,,,,,,,,,,,,,,,24.99574395,40.01,H,
Gaia DR2 4815192671404177280,04 45 38.04,-42 32 49.38,DAZ,6748.0,7.971,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59765865,27.32,H,
Gaia DR2 4829340465475546880,03 43 47.38,-51 25 22.82,DAZ,6742.0,8.011,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82915518,27.91,H,
Gaia DR2 4839901583898106496,04 26 44.33,-41 53 42.34,DAZ,6127.0,8.124,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05940119,34.41,H,
Gaia DR2 4970215770740383616,02 13 49.05,-33 45 24.25,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3325,18.75,,
Gaia DR2 53278867446391040,03 58 26.75,21 57 22.04,DAZ,6777.0,8.217,0.727,,2.75,,,,,,,,,,,,,,,,,,,,,-7.39,,,,,,,,,,,,,,,,,,,,27.67340102,36.14,H,
Gaia DR2 5423545067716723712,09 17 08.57,-45 46 13.69,DAZ,6329.0,8.022,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.30793807,28.32,,
Gaia DR2 5456685104084844032,10 59 15.61,-28 19 57.07,DAZ,6653.0,8.048,0.62,,1.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34415719,39.46,,
Gaia DR2 5763373596110853248,09 05 12.38,-01 54 53.56,DAZ,6701.0,8.008,0.579,,1.84,,,,,,,,,,,,,,,,,,,,,-9.14,,,,,,,,,,,,,,,,,,,,11.64720567,85.86,H,
Gaia DR2 5827454649955072256,15 30 44.46,-62 03 08.97,DAZ,5879.0,8.167,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.56029392,37.65,,
Gaia DR2 637527525030988160,09 24 59.31,21 07 16.07,DAZ,6230.0,8.178,0.685,,3.33,,,,,,,,,,,,,,,,,,,,,-8.29,,,,,,,,,,,,,,,,,,,,14.04864938,71.18,H,
Gaia DR2 6429048245152936320,20 20 17.25,-65 25 26.48,DAZ,6342.0,8.298,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98587177,38.48,,
Gaia DR2 657673498630210176,08 40 26.99,15 18 40.13,DAZ,6420.0,8.159,0.673,,2.84,,,,,,,,,,,,,,,,,,,,,-8.82,,,,,,,,,,,,,,,,,,,,10.89394784,91.79,H,
Gaia DR2 859567752163281792,11 34 44.63,61 08 25.52,DAZ,7502.0,7.967,0.574,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.57858139,28.11,H,
Gaia DR2 866962856917166208,07 40 59.64,22 18 10.30,DAZ,5904.0,8.139,0.659,,3.94,,,,,,,,,,,,,,,,,,,,,-8.78,,,,,,,,,,,,,,,,,,,,16.52737805,60.51,H,
Gaia DR2 883243467325018496,07 07 55.03,26 51 02.83,DAZ,13332.0,7.893,0.548,,0.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31296615,75.11,,
Gaia DR3 1034536537888794880,08 32 06.99,57 41 59.87,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4914,222.65,,
Gaia DR3 1045754099112779776,10 07 30.72,57 14 47.50,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4047,2470.97,,
