wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
2MASS J01213782+3440431,01 21 37.61,34 40 43.09,DZ,7064.0,8.323,0.799,-3.49,1.97,-4.0,,,,,,,,,,,,,,,,,,,-10.85,,,,,,,,,,,,,,,,,,,,,25.78056021,38.79,He,13.66
2MASS J06214164-4016187,06 21 41.77,-40 16 24.55,DZ,6151.0,8.262,0.756,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22708128,23.68,He,
2MASS J08541811+4704019,08 54 18.00,47 04 02.81,DZ+dM,6300.0,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266875408,,,
2MASS J21120843+0912019,21 12 08.43,09 12 01.87,DZA+M,6313.0,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468926419,2132.53,,
2MASS J21420390+2252290,21 42 04.02,22 52 27.26,DZ,8839.0,7.87,0.504,-3.2,0.76,-4.0,,,,,,,,,,,,,,,,,,,-10.46,,,,,,,,,,,,,,,,,,,,,21.54461689,46.42,He,12.88
2MASS J21550637+4103067,21 55 06.59,41 03 07.94,DZ,6525.0,8.313,0.775,-3.75,3.62,-2.0,,,,,,,,,,,,,,,,,,,-10.9,,,,,,,,,,,,,,,,,,,,,16.90360309,59.16,He,14.21
2MASS J22280206+1207334,22 28 02.02,12 07 32.64,DZ,7189.0,8.294,0.78,-3.48,1.93,-4.0,,,,,,,,,,,,,,,,,,,-9.73,,,,,,,,,,,,,,,,,,,,,29.48847602,33.91,He,13.54
2QZ J103024.3+002613,10 30 24.19,00 26 14.43,DZ,6747.0,8.0178,0.5845,,1.74,<-3.6561,,,,,,,,,,,,,,,,,,,-10.3683,,,,,,,,,,,,,,,,,,,,,6.535413535,153.01,He,
2QZ J110644.2-003928,11 06 44.27,-00 39 27.45,DZ,11350.0,8.0604,0.6194,,0.487,<-6.018,,,,,,,,,,,,,,,,,,,-8.1891,,,,,,,,,,,,,,,,,,,,,4.123447208,242.52,He,
2QZ J112730.3-013801,11 27 30.50,-01 38 03.39,DZ,7393.0,8.012,0.582,,1.44,-4.0,,,,,,,,,,,,,,,,,,,-9.22,,,,,,,,,,,,,,,,,,,,,10.26528102,97.42,He,
2QZ J113728.3-002343,11 37 28.24,-00 23 42.77,DZ,10003.0,8.1842,0.6947,,0.82,<-5.8027,,,,,,,,,,,,,,,,,,,-9.613,,,,,,,,,,,,,,,,,,,,,4.371487394,228.76,He,
2QZ J114310.2-014529,11 43 10.25,-01 45 29.19,DZ,9583.0,7.9926,0.5752,,0.689,<-5.8767,,,,,,,,,,,,,,,,,,,-9.7613,,,,,,,,,,,,,,,,,,,,,5.379006133,185.91,He,
2QZ J122555.3-024547,12 25 55.36,-02 45 45.52,DZ,6934.0,8.156,0.6717,,2.16,<-3.7202,,,,,,,,,,,,,,,,,,,-10.2152,,,,,,,,,,,,,,,,,,,,,4.441468447,225.15,He,
2QZ J140615.9-003715,14 06 15.99,-00 37 14.94,DZ,7522.0,8.1035,0.6391,,1.5,<-4.0857,,,,,,,,,,,,,,,,,,,-8.7807,,,,,,,,,,,,,,,,,,,,,3.597270228,277.99,He,
2SLAQ J022509.10-001854.6,02 25 09.12,-00 18 55.20,DZ,6207.0,8.2437,0.7277,,3.9,<-3.0198,,,,,,,,,,,,,,,,,,,-10.0143,,,,,,,,,,,,,,,,,,,,,6.726443212,148.67,He,
2SLAQ J090451.98-002951.6,09 04 51.93,-00 29 51.50,DZ,7933.0,8.0,,,0.0,<-4.5671,,,,,,,,,,,,,,,,,,,-10.3531,,,,,,,,,,,,,,,,,,,,,,329.4949,He,
2SLAQ J090945.07-004559.3,09 09 45.03,-00 45 59.33,DZ,9160.0,8.1309,0.6592,,0.952,<-5.5857,,,,,,,,,,,,,,,,,,,-9.4025,,,,,,,,,,,,,,,,,,,,,5.419882906,184.51,He,
2SLAQ J102456.50-001732.4,10 24 56.51,-00 17 32.37,DZ,7370.0,8.0,,,0.0,<-4.0807,,,,,,,,,,,,,,,,,,,-8.8438,,,,,,,,,,,,,,,,,,,,,,355.3735,He,
2SLAQ J151859.71+002840.1,15 18 59.72,00 28 39.39,DZ,8557.0,8.331,0.806,,1.538,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,5.341810465,187.20,He,
2SLAQ J212424.69-011452.5,21 24 24.65,-01 14 54.10,DZ,7732.0,8.0548,0.609,,1.3,<-4.2866,,,,,,,,,,,,,,,,,,,-9.4874,,,,,,,,,,,,,,,,,,,,,8.129715937,123.01,He,
2SLAQ J215144.77-011247.4,21 51 44.74,-01 12 47.53,DZ,6930.0,8.0,,,0.0,<-3.8467,,,,,,,,,,,,,,,,,,,-8.5823,,,,,,,,,,,,,,,,,,,,,,286.5584,He,
2SLAQ J231601.88+004131.2,23 16 01.89,00 41 31.18,DZ,7696.0,8.0,,,0.0,<-4.3074,,,,,,,,,,,,,,,,,,,-8.6863,,,,,,,,,,,,,,,,,,,,,,460.0604,He,
87GB 103758.5+063247,10 40 31.63,06 17 21.70,DZ,7521.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-9.882,,,,,,,,,,,,,,,,,,,,,-0.057881897,,He,
BSO 24,15 06 26.33,41 52 44.44,DZ,9162.0,8.069,0.62,,0.91,-5.0,,,,,,,,,,,,,,,,,,,-10.76,,,,,,,,,,,,,,,,,,,,,10.47993575,95.42,He,
CBS 127,10 18 38.71,37 26 57.14,DZA,10543.0,7.9772,0.5682,,0.526,-3.62,,,,,,,,,,,,,,,,,,,-7.9341,,,,,,,,,,,,,,,,,,,,,7.27956815,137.37,He,12.42
CSO 1241,11 55 47.34,43 27 51.60,DZ,9902.0,7.9289,0.5391,,0.582,<-5.9232,,,,,,,,,,,,,,,,,,,-9.7263,,,,,,,,,,,,,,,,,,,,,6.101023236,163.91,He,
EGGR 346,08 05 37.60,38 32 07.98,DZ,10680.0,8.1107,0.6491,-2.89,0.618,<-5.9537,,,,,,,,,,,,,,,,,,,-9.601,,,,,,,,,,,,,,,,,,,,,22.08984484,45.27,He,12.46
EGGR 391,13 30 58.83,30 29 52.01,DZH,6351.0,8.168,0.694,-3.62,3.43,-3.0,,,,,,-8.8,,-7.15,,,,,,,,,,,-8.16,,,,-9.7,,,-9.0,,,,-7.3,,,-8.66,,,,,,,39.15177821,25.54,He,13.92
EGGR 474,02 51 52.00,73 41 32.79,DZ,7618.0,8.097,0.635,,1.51,-3.0,,,,,,,,,,,,,,,,,,,-9.32,-9.7,,,,,,,,,,,,,,,,,,,,16.36104537,61.12,He,12.71
EGGR 554,23 15 19.44,-02 09 37.76,DZ,6634.0,8.216,0.727,-3.75,2.42,-3.0,-4.0,,,,,,,-10.8,,,,,,,,,,,-9.88,,,,,,,,,,,-9,,,,,,,,,,33.643,29.72,He,14.18
